dataset,model,n_random,n_folds,pairwise_prop_random_gt_loo,cliff_delta,exact_permutation_p,permutations
XJTU-SY,LinearRegression,8,8,1.0,1.0,7.77000777000777e-05,12870
XJTU-SY,StatLSTM,8,8,1.0,1.0,7.77000777000777e-05,12870
XJTU-SY,TCN,8,8,1.0,1.0,7.77000777000777e-05,12870
XJTU-SY,PatchTST,8,8,1.0,1.0,7.77000777000777e-05,12870
PHM2012,LinearRegression,8,6,1.0,1.0,0.000333000333000333,3003
PHM2012,StatLSTM,8,6,1.0,1.0,0.000333000333000333,3003
PHM2012,TCN,8,6,1.0,1.0,0.000333000333000333,3003
PHM2012,PatchTST,8,6,1.0,1.0,0.000333000333000333,3003
IMS,LinearRegression,8,3,1.0,1.0,0.006060606060606061,165
IMS,StatLSTM,8,3,1.0,1.0,0.006060606060606061,165
IMS,TCN,8,3,1.0,1.0,0.006060606060606061,165
IMS,PatchTST,8,3,1.0,1.0,0.006060606060606061,165
