dataset,model,cliff,ci95_low,ci95_high,p
XJTU-SY,LinearRegression,1.0,1.0,1.0,0.0074962518740629685
XJTU-SY,StatLSTM,1.0,1.0,1.0,0.004997501249375313
XJTU-SY,TCN,1.0,1.0,1.0,0.00399800099950025
XJTU-SY,PatchTST,1.0,1.0,1.0,0.0074962518740629685
PHM2012,LinearRegression,1.0,1.0,1.0,0.013493253373313344
PHM2012,StatLSTM,1.0,1.0,1.0,0.015992003998001
PHM2012,TCN,1.0,1.0,1.0,0.009495252373813094
PHM2012,PatchTST,1.0,1.0,1.0,0.01249375312343828
IMS,LinearRegression,1.0,1.0,1.0,0.05747126436781609
IMS,StatLSTM,1.0,1.0,1.0,0.053973013493253376
IMS,TCN,1.0,1.0,1.0,0.049475262368815595
IMS,PatchTST,1.0,1.0,1.0,0.05697151424287856
