ID,Title,Authors,Year,Journal,DOI,URL,Piecewise80,RandomSplit,ConstantBaseline,VerificationNote
P01,Conditional variational transformer for bearing remaining useful life prediction,Yupeng Wei; Dazhong Wu,2024,Advanced Engineering Informatics,10.1016/j.aei.2023.102247,https://doi.org/10.1016/j.aei.2023.102247,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P02,Rolling Bearing Remaining Useful Life Prediction Based on CNN-VAE-MBiLSTM,Lei Yang; Yibo Jiang; Kang Zeng; Tao Peng,2024,Sensors,10.3390/s24102992,https://doi.org/10.3390/s24102992,No,No,No,Full text audited (Sensors PDF); normalized RUL labels; bearing-level 70/30 train/test (4 train, 2 test); no constant baseline; data not public
P03,Cascade Fusion Convolutional Long-Short Time Memory Network for Remaining Useful Life Prediction of Rolling Bearing,Qiong Wu; Changsheng Zhang,2020,IEEE Access,10.1109/access.2020.2970444,https://doi.org/10.1109/access.2020.2970444,No,No,No,Full text audited (IEEE Access PDF); linear reliability labels and leave-one-bearing-out split
P04,Prediction of bearing remaining useful life based on DACN-ConvLSTM model,Guopeng Zhu; Zening Zhu; Ling Xiang; Aijun Hu; Yonggang Xu,2023,Measurement,10.1016/j.measurement.2023.112600,https://doi.org/10.1016/j.measurement.2023.112600,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P05,From Envelope Spectra to Bearing Remaining Useful Life: An Intelligent Vibration-Based Prediction Model with Quantified Uncertainty,Haobin Wen; Long Zhang; Jyoti K. Sinha,2024,Sensors,10.3390/s24227257,https://doi.org/10.3390/s24227257,Unclear,No,No,Full text audited (Sensors PDF); piecewise linear RUL model cited but plateau parameter not explicit; leave-one-bearing-out within condition; no constant baseline; dataset available, no code
P06,A Two-Stage Transfer Regression Convolutional Neural Network for Bearing Remaining Useful Life Prediction,Xianling Li; Kai Zhang; Weijun Li; Yi Feng; Ruonan Liu,2022,Machines,10.3390/machines10050369,https://doi.org/10.3390/machines10050369,No,No,No,Full text audited (Machines PDF); health percentage labels with pre-IF plateau; source/target cross-bearing holdout; no constant baseline; data on request, no code
P07,A novel method for journal bearing degradation evaluation and remaining useful life prediction under different working conditions,Ning Ding; Hulin Li; Zhongwei Yin; Fangmin Jiang,2021,Measurement,10.1016/j.measurement.2021.109273,https://doi.org/10.1016/j.measurement.2021.109273,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P08,An enhanced encoder–decoder framework for bearing remaining useful life prediction,Lu Liu; Xiao Song; Kai Chen; Baocun Hou; Xudong Chai; Huansheng Ning,2021,Measurement,10.1016/j.measurement.2020.108753,https://doi.org/10.1016/j.measurement.2020.108753,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P09,A remaining useful life prediction method for bearing based on deep neural networks,Hua Ding; Liangliang Yang; Zeyin Cheng; Zhaojian Yang,2021,Measurement,10.1016/j.measurement.2020.108878,https://doi.org/10.1016/j.measurement.2020.108878,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P10,Bearing remaining useful life prediction under starved lubricating condition using time domain acoustic emission signal processing,Mohsen Motahari-Nezhad; Seyed Mohammad Jafari,2021,Expert Systems with Applications,10.1016/j.eswa.2020.114391,https://doi.org/10.1016/j.eswa.2020.114391,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P11,Quantile regression network-based cross-domain prediction model for rolling bearing remaining useful life,Ting Zhang; Honglei Wang,2024,Applied Soft Computing,10.1016/j.asoc.2024.111649,https://doi.org/10.1016/j.asoc.2024.111649,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P12,Bearing remaining useful life prediction using self-adaptive graph convolutional networks with self-attention mechanism,Yupeng Wei; Dazhong Wu; Janis Terpenny,2023,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2022.110010,https://doi.org/10.1016/j.ymssp.2022.110010,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P13,Remaining useful life prediction of rolling bearing using fractal theory,Zong Meng; Jing Li; Na Yin; Zuozhou Pan,2020,Measurement,10.1016/j.measurement.2020.107572,https://doi.org/10.1016/j.measurement.2020.107572,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P14,Simultaneous Bearing Fault Recognition and Remaining Useful Life Prediction Using Joint-Loss Convolutional Neural Network,Ruonan Liu; Boyuan Yang; Alexander G. Hauptmann,2020,IEEE Transactions on Industrial Informatics,10.1109/tii.2019.2915536,https://doi.org/10.1109/tii.2019.2915536,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P15,Weibull accelerated failure time regression model for remaining useful life prediction of bearing working under multiple operating conditions,Pradeep Kundu; Ashish K. Darpe; Makarand S. Kulkarni,2019,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2019.106302,https://doi.org/10.1016/j.ymssp.2019.106302,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P16,Remaining Useful Life Estimation of Rolling Bearing Based on SOA-SVM Algorithm,Xiao Li; Songyang An; Yuanyuan Shi; Yizhe Huang,2022,Machines,10.3390/machines10090729,https://doi.org/10.3390/machines10090729,No,No,No,Full text audited (Machines PDF); PCA degradation index target; within-trajectory parity 1:1 split; no constant baseline; data in article, no code
P17,Entropy-based domain adaption strategy for predicting remaining useful life of rolling element bearing,Anil Kumar; Chander Parkash; Yuqing Zhou; Pradeep Kundu; Jiawei Xiang; Hesheng Tang,2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2024.108575,https://doi.org/10.1016/j.engappai.2024.108575,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P18,A novel Switching Unscented Kalman Filter method for remaining useful life prediction of rolling bearing,Lingli Cui; Xin Wang; Yonggang Xu; Hong Jiang; Jianping Zhou,2019,Measurement,10.1016/j.measurement.2018.12.028,https://doi.org/10.1016/j.measurement.2018.12.028,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P19,Remaining useful life prediction of rolling bearing via composite multiscale permutation entropy and Elman neural network,Yongjian Sun; Zihan Wang,2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2024.108852,https://doi.org/10.1016/j.engappai.2024.108852,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
P20,Remaining useful life prediction of rolling bearing under limited data based on adaptive time-series feature window and multi-step ahead strategy,Weili Kong; Hai Li,2022,Applied Soft Computing,10.1016/j.asoc.2022.109630,https://doi.org/10.1016/j.asoc.2022.109630,PENDING,PENDING,PENDING,Full text not accessible in current environment; pending user-provided PDF
